lfdn;external_lfdn;tester;dispcode;lastpage;quality;duration;c_0001;c_0002;v_3;v_4;v_30;v_31;v_32;v_33;v_34;v_55;v_56;v_57;v_58;v_59;v_60;v_61;v_62;v_63;v_64;v_10;v_45;v_46;v_47;v_48;v_49;v_65;v_66;v_67;v_68;v_69;v_70;v_71;v_72;v_73;v_74;v_98;v_130;v_131;v_132;v_133;v_134;v_110;v_111;v_112;v_113;v_114;v_115;v_116;v_117;v_118;v_119;v_99;v_105;v_106;v_107;v_108;v_109;v_120;v_121;v_122;v_123;v_124;v_125;v_126;v_127;v_128;v_129;v_16;v_17;v_18;v_19;v_20;v_35;v_36;v_37;v_38;v_76;v_79;v_135;browser;referer;device_type;quota;quota_assignment;quota_rejected_id;page_history;hflip;vflip;output_mode;javascript;flash;session_id;language;cleaned;ats;datetime;date_of_last_access;date_of_first_mail;rts6356781;rts6356782;rts6357333;rts6357335;rts6357336;rts6357424;rts6357442;rts6357503;rts6357522;rts6357534;rts6357557;rts6357860;rts6357866;rts6357867;rts6357869;rts6357870;rts6357871;rts6357872;rnd_pg_6359491_1;rnd_pg_6359491_2;rnd_pg_6359491_3;rnd_pg_6359491_4
25;0;0;31;6354585;-77;26;-77;-66;2;2;2;1;3;1;2;3;1;3;1;3;1;2;3;2;1;1;4;3;5;3;5;4;4;4;5;3;3;5;3;5;5;1;3;3;1;1;1;3;1;1;1;2;1;2;1;3;2;2;5;4;5;4;3;3;3;3;4;3;3;5;5;5;5;2;1;2;3;3;2;1;1;3;30;2;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357866,6357872,6357870,6357867,6357869,6357871,6357335,6357424,6357522,6357336,6357503,6357534,6357442,6357860,6357557,6354585;1;0;0;-77;-77;1fcffa92da537d48024f80752b97669d;1;0;1655933184;2022-06-22 21:26:24;2022-06-22 21:26:51;0000-00-00 00:00:00;1;2;2;13;18;15;24;20;17;23;27;26;3;8;10;7;12;4;6357866;6357867;6357335;6357336
26;0;0;31;6354585;-77;28;-77;-66;2;2;2;1;1;2;3;2;1;3;3;1;3;3;3;3;3;1;5;4;4;3;5;4;5;3;4;3;3;5;3;5;5;1;1;3;2;3;2;2;3;1;2;2;3;1;3;2;2;1;3;5;4;4;3;4;3;3;4;5;4;3;5;5;3;1;1;3;3;2;2;2;2;2;32;1;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357336,6357503,6357534,6357866,6357872,6357870,6357335,6357424,6357522,6357442,6357860,6357557,6354585;0;1;0;-77;-77;d74d85e1e4b550cc5ca25c327c3ec215;1;0;1655933225;2022-06-22 21:27:05;2022-06-22 21:27:33;0000-00-00 00:00:00;0;1;1;18;7;20;25;9;23;12;28;26;13;2;4;17;7;14;6357867;6357336;6357866;6357335
27;0;0;31;6354585;-77;28;-77;-66;2;2;2;1;1;3;3;3;1;1;1;1;3;2;2;1;3;1;3;5;5;3;5;5;5;3;5;5;5;5;3;3;5;2;3;1;3;1;1;3;1;3;1;2;3;3;2;2;2;1;4;5;5;4;3;5;5;4;3;5;3;4;3;4;5;2;2;1;1;2;2;1;3;1;19;2;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357336,6357503,6357534,6357866,6357872,6357870,6357335,6357424,6357522,6357442,6357860,6357557,6354585;0;1;0;-77;-77;d74d85e1e4b550cc5ca25c327c3ec215;1;0;1655933225;2022-06-22 21:27:05;2022-06-22 21:27:33;0000-00-00 00:00:00;0;1;1;18;7;20;25;9;23;12;28;26;13;2;4;17;7;14;6357867;6357336;6357866;6357335
28;0;0;31;6354585;-77;28;-77;-66;2;2;1;1;3;3;2;3;1;3;1;1;3;1;3;2;2;3;5;5;3;4;5;5;3;3;3;4;4;4;4;3;5;3;2;1;2;2;1;1;3;3;2;2;1;1;1;3;2;3;4;5;4;4;3;4;4;5;5;4;4;4;4;5;4;1;2;2;2;1;3;2;3;3;24;1;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357336,6357503,6357534,6357866,6357872,6357870,6357335,6357424,6357522,6357442,6357860,6357557,6354585;0;1;0;-77;-77;d74d85e1e4b550cc5ca25c327c3ec215;1;0;1655933225;2022-06-22 21:27:05;2022-06-22 21:27:33;0000-00-00 00:00:00;0;1;1;18;7;20;25;9;23;12;28;26;13;2;4;17;7;14;6357867;6357336;6357866;6357335
29;0;0;31;6354585;-77;28;-77;-66;2;3;2;1;2;1;1;3;1;3;1;3;3;2;1;2;2;1;4;3;4;4;4;5;3;4;4;5;3;5;4;5;5;1;3;1;2;1;2;2;2;1;1;1;3;3;3;1;2;3;3;4;4;5;5;5;4;3;4;3;5;5;4;3;3;2;2;2;1;1;1;2;3;3;24;2;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357336,6357503,6357534,6357866,6357872,6357870,6357335,6357424,6357522,6357442,6357860,6357557,6354585;0;1;0;-77;-77;d74d85e1e4b550cc5ca25c327c3ec215;1;0;1655933225;2022-06-22 21:27:05;2022-06-22 21:27:33;0000-00-00 00:00:00;0;1;1;18;7;20;25;9;23;12;28;26;13;2;4;17;7;14;6357867;6357336;6357866;6357335
30;0;0;31;6354585;-77;28;-77;-66;3;1;3;1;2;1;1;3;3;3;1;3;1;3;2;1;1;1;3;3;4;5;3;3;5;5;5;5;5;3;5;4;5;2;2;1;1;3;1;2;2;3;3;2;3;1;3;1;3;2;3;3;5;5;5;5;4;4;4;3;4;3;3;3;4;3;3;2;3;2;1;1;2;1;35;4;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357336,6357503,6357534,6357866,6357872,6357870,6357335,6357424,6357522,6357442,6357860,6357557,6354585;0;1;0;-77;-77;d74d85e1e4b550cc5ca25c327c3ec215;1;0;1655933225;2022-06-22 21:27:05;2022-06-22 21:27:33;0000-00-00 00:00:00;0;1;1;18;7;20;25;9;23;12;28;26;13;2;4;17;7;14;6357867;6357336;6357866;6357335
31;0;0;31;6354585;-77;28;-77;-66;3;1;1;2;3;1;1;3;2;3;1;1;2;1;3;1;2;2;3;4;4;5;5;4;5;3;3;4;3;3;3;3;5;1;3;3;3;1;3;1;1;3;2;1;3;1;3;3;2;3;5;5;4;5;3;5;5;5;5;5;3;3;3;5;3;2;1;2;1;3;1;3;2;1;25;2;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357336,6357503,6357534,6357866,6357872,6357870,6357335,6357424,6357522,6357442,6357860,6357557,6354585;0;1;0;-77;-77;d74d85e1e4b550cc5ca25c327c3ec215;1;0;1655933225;2022-06-22 21:27:05;2022-06-22 21:27:33;0000-00-00 00:00:00;0;1;1;18;7;20;25;9;23;12;28;26;13;2;4;17;7;14;6357867;6357336;6357866;6357335
32;0;0;31;6354585;-77;28;-77;-66;3;1;2;1;1;3;1;3;2;2;1;2;3;2;3;1;3;2;3;3;5;3;5;5;5;5;3;4;5;5;3;4;5;2;3;3;3;2;2;1;1;1;1;2;2;2;1;2;1;2;4;3;5;4;5;3;4;4;5;4;5;4;5;3;3;1;2;3;1;3;1;1;3;1;21;1;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357336,6357503,6357534,6357866,6357872,6357870,6357335,6357424,6357522,6357442,6357860,6357557,6354585;0;1;0;-77;-77;d74d85e1e4b550cc5ca25c327c3ec215;1;0;1655933225;2022-06-22 21:27:05;2022-06-22 21:27:33;0000-00-00 00:00:00;0;1;1;18;7;20;25;9;23;12;28;26;13;2;4;17;7;14;6357867;6357336;6357866;6357335
33;0;0;31;6354585;-77;28;-77;-66;2;1;1;1;3;3;1;1;1;1;3;2;1;3;3;2;3;2;4;4;5;3;3;4;5;5;5;3;3;5;5;4;5;1;1;3;1;3;3;2;1;3;2;2;3;1;2;3;3;1;3;3;4;4;5;4;3;4;5;4;4;4;3;4;3;1;3;1;1;2;2;2;1;3;19;3;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357336,6357503,6357534,6357866,6357872,6357870,6357335,6357424,6357522,6357442,6357860,6357557,6354585;0;1;0;-77;-77;d74d85e1e4b550cc5ca25c327c3ec215;1;0;1655933225;2022-06-22 21:27:05;2022-06-22 21:27:33;0000-00-00 00:00:00;0;1;1;18;7;20;25;9;23;12;28;26;13;2;4;17;7;14;6357867;6357336;6357866;6357335
34;0;0;31;6354585;-77;28;-77;-66;1;1;3;3;1;1;2;1;2;2;3;2;2;1;2;1;2;1;5;3;4;4;3;5;3;5;3;4;4;5;3;3;5;3;2;1;1;2;3;1;3;3;1;2;2;2;2;2;3;1;5;4;4;5;5;4;5;4;4;5;5;3;4;5;5;1;2;3;3;2;1;3;1;2;19;2;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357336,6357503,6357534,6357866,6357872,6357870,6357335,6357424,6357522,6357442,6357860,6357557,6354585;0;1;0;-77;-77;d74d85e1e4b550cc5ca25c327c3ec215;1;0;1655933225;2022-06-22 21:27:05;2022-06-22 21:27:33;0000-00-00 00:00:00;0;1;1;18;7;20;25;9;23;12;28;26;13;2;4;17;7;14;6357867;6357336;6357866;6357335
35;0;0;31;6354585;-77;28;-77;-66;2;3;3;1;3;1;1;1;2;2;3;1;1;3;3;2;1;1;3;4;4;5;3;5;5;5;3;3;3;5;3;5;5;1;3;2;2;3;1;1;3;2;1;2;3;2;1;1;1;2;5;4;3;3;3;3;5;3;5;3;4;3;5;3;3;3;1;1;3;3;1;2;2;1;19;4;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357336,6357503,6357534,6357866,6357872,6357870,6357335,6357424,6357522,6357442,6357860,6357557,6354585;0;1;0;-77;-77;d74d85e1e4b550cc5ca25c327c3ec215;1;0;1655933225;2022-06-22 21:27:05;2022-06-22 21:27:33;0000-00-00 00:00:00;0;1;1;18;7;20;25;9;23;12;28;26;13;2;4;17;7;14;6357867;6357336;6357866;6357335
36;0;0;31;6354585;-77;28;-77;-66;2;2;1;3;2;3;2;1;2;1;3;1;1;2;1;3;2;1;5;4;5;4;5;3;5;3;4;4;3;3;3;5;5;1;2;2;1;3;1;2;3;2;2;3;1;2;1;2;3;3;5;4;3;4;3;3;4;3;3;5;4;3;3;3;4;3;3;3;3;1;3;1;2;3;23;4;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357336,6357503,6357534,6357866,6357872,6357870,6357335,6357424,6357522,6357442,6357860,6357557,6354585;0;1;0;-77;-77;d74d85e1e4b550cc5ca25c327c3ec215;1;0;1655933225;2022-06-22 21:27:05;2022-06-22 21:27:33;0000-00-00 00:00:00;0;1;1;18;7;20;25;9;23;12;28;26;13;2;4;17;7;14;6357867;6357336;6357866;6357335
37;0;0;31;6354585;-77;28;-77;-66;2;3;3;3;1;1;1;1;1;2;2;2;2;3;3;2;3;3;4;5;3;3;3;3;5;3;5;4;5;3;5;3;5;2;2;2;2;2;3;2;2;1;1;1;3;2;1;3;1;3;3;3;3;3;3;4;3;3;4;3;4;5;5;5;3;2;1;3;3;1;3;1;2;2;25;3;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357336,6357503,6357534,6357866,6357872,6357870,6357335,6357424,6357522,6357442,6357860,6357557,6354585;0;1;0;-77;-77;d74d85e1e4b550cc5ca25c327c3ec215;1;0;1655933225;2022-06-22 21:27:05;2022-06-22 21:27:33;0000-00-00 00:00:00;0;1;1;18;7;20;25;9;23;12;28;26;13;2;4;17;7;14;6357867;6357336;6357866;6357335
38;0;0;31;6354585;-77;28;-77;-66;1;2;2;1;3;1;1;1;3;3;2;2;3;2;2;1;2;3;4;4;3;4;4;3;5;4;3;5;3;3;5;4;5;3;1;3;2;1;1;2;2;3;2;1;1;2;2;1;1;1;3;4;5;5;5;4;3;3;5;5;4;5;4;4;4;3;1;1;3;2;2;3;1;2;26;1;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357336,6357503,6357534,6357866,6357872,6357870,6357335,6357424,6357522,6357442,6357860,6357557,6354585;0;1;0;-77;-77;d74d85e1e4b550cc5ca25c327c3ec215;1;0;1655933225;2022-06-22 21:27:05;2022-06-22 21:27:33;0000-00-00 00:00:00;0;1;1;18;7;20;25;9;23;12;28;26;13;2;4;17;7;14;6357867;6357336;6357866;6357335
39;0;0;31;6354585;-77;28;-77;-66;2;2;1;2;3;3;1;2;3;1;1;3;3;1;1;3;3;2;4;4;4;3;4;4;5;4;3;4;4;4;4;3;5;1;2;2;1;1;3;1;3;2;1;2;3;3;1;3;1;2;4;4;3;4;5;5;3;4;4;5;5;3;4;5;3;3;1;1;2;2;1;1;1;3;20;3;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357336,6357503,6357534,6357866,6357872,6357870,6357335,6357424,6357522,6357442,6357860,6357557,6354585;0;1;0;-77;-77;d74d85e1e4b550cc5ca25c327c3ec215;1;0;1655933225;2022-06-22 21:27:05;2022-06-22 21:27:33;0000-00-00 00:00:00;0;1;1;18;7;20;25;9;23;12;28;26;13;2;4;17;7;14;6357867;6357336;6357866;6357335
40;0;0;31;6354585;-77;28;-77;-66;1;1;2;1;1;3;3;1;2;2;3;2;2;2;2;2;1;1;4;3;4;4;3;5;3;5;5;4;3;5;4;3;5;3;3;3;1;3;3;3;1;1;3;2;1;1;3;2;3;1;5;4;4;3;3;5;4;5;4;5;4;5;3;3;3;1;1;2;2;2;2;3;3;3;30;2;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357336,6357503,6357534,6357866,6357872,6357870,6357335,6357424,6357522,6357442,6357860,6357557,6354585;0;1;0;-77;-77;d74d85e1e4b550cc5ca25c327c3ec215;1;0;1655933225;2022-06-22 21:27:05;2022-06-22 21:27:33;0000-00-00 00:00:00;0;1;1;18;7;20;25;9;23;12;28;26;13;2;4;17;7;14;6357867;6357336;6357866;6357335
41;0;0;31;6354585;-77;28;-77;-66;1;2;1;2;1;3;3;2;1;2;1;3;1;2;3;1;1;1;5;3;4;5;5;3;5;4;5;4;5;4;5;5;5;3;3;3;1;1;2;1;1;3;2;2;1;2;3;2;3;1;4;3;3;5;5;5;3;4;5;4;5;5;5;5;5;1;1;2;2;3;2;3;1;3;33;1;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357336,6357503,6357534,6357866,6357872,6357870,6357335,6357424,6357522,6357442,6357860,6357557,6354585;0;1;0;-77;-77;d74d85e1e4b550cc5ca25c327c3ec215;1;0;1655933225;2022-06-22 21:27:05;2022-06-22 21:27:33;0000-00-00 00:00:00;0;1;1;18;7;20;25;9;23;12;28;26;13;2;4;17;7;14;6357867;6357336;6357866;6357335
42;0;0;31;6354585;-77;28;-77;-66;3;2;1;2;3;2;3;2;3;3;3;1;1;2;2;3;3;2;4;5;5;5;4;4;3;4;5;5;5;3;4;5;5;1;3;2;3;1;3;2;3;3;2;2;3;1;2;2;2;3;4;4;3;3;4;5;4;4;5;5;5;5;3;3;5;1;3;1;3;1;3;1;2;1;32;2;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357336,6357503,6357534,6357866,6357872,6357870,6357335,6357424,6357522,6357442,6357860,6357557,6354585;0;1;0;-77;-77;d74d85e1e4b550cc5ca25c327c3ec215;1;0;1655933225;2022-06-22 21:27:05;2022-06-22 21:27:33;0000-00-00 00:00:00;0;1;1;18;7;20;25;9;23;12;28;26;13;2;4;17;7;14;6357867;6357336;6357866;6357335
43;0;0;31;6354585;-77;114;-77;-66;3;1;2;3;1;3;3;3;3;1;1;2;2;2;1;3;2;3;3;5;5;3;5;5;3;3;4;3;4;3;3;4;5;1;3;1;2;1;2;2;3;1;2;3;1;3;2;3;3;3;5;4;3;5;4;3;3;3;5;5;5;3;3;4;4;1;2;2;2;1;1;1;3;1;22;3;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15";-99;0;0;-66;0;6356781,6357333,6356782,6359491,6357335,6357424,6357522,6357867,6357869,6357871,6357866,6357872,6357870,6357336,6357503,6357534,6357442,6357860,6357557,6354585;0;1;0;-77;-77;b9861e5a91868fe3dfa70cc2f512c5cf;1;0;1655802304;2022-06-21 09:05:04;2022-06-21 09:06:58;0000-00-00 00:00:00;3;8;6;12;69;18;95;74;26;87;114;99;46;29;35;59;43;51;6357335;6357867;6357866;6357336
44;0;0;31;6354585;-77;6151;-77;-66;1;1;3;2;2;3;3;2;3;1;3;1;1;1;2;2;2;2;4;3;3;4;4;4;4;4;5;4;4;3;4;4;5;3;2;2;1;2;3;2;3;1;2;3;2;1;3;2;3;2;3;3;3;5;4;3;5;5;4;4;5;4;5;5;4;1;2;1;2;1;3;3;2;3;27;1;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Safari/605.1.15";-99;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357866,6357872,6357870,6357336,6357503,6357534,6357335,6357335,6357335,6357424,6357424,6357424,6357522,6357442,6357860,6357557,6357557,6357557,6354585;0;0;0;-77;-77;857d6190d1381dbcc96cb6b4c9b1eb91;1;0;1655810339;2022-06-21 11:18:59;2022-06-21 13:01:30;0000-00-00 00:00:00;5512;5604;5583;5994;5941;6004;6056;5947;6015;5958;6151;6091;5873;5653;5679;5892;5784;5880;6357867;6357866;6357336;6357335
45;0;0;31;6354585;-77;102;-77;-66;3;1;2;2;2;3;3;1;1;2;1;3;1;3;2;3;2;2;5;5;3;5;3;3;4;5;3;4;3;4;5;4;5;2;3;2;3;1;3;2;1;2;2;2;2;2;3;1;1;3;5;3;4;4;3;5;4;5;4;5;3;3;4;5;3;2;2;1;2;2;3;2;3;1;34;4;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";-99;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357335,6357424,6357522,6357336,6357503,6357534,6357867,6357869,6357871,6357866,6357872,6357870,6357442,6357860,6357557,6354585;0;0;0;-77;-77;c8c43e349a8ebca3f6ccc91ae5eaaba6;1;0;1655932821;2022-06-22 21:20:21;2022-06-22 21:22:03;0000-00-00 00:00:00;5;12;10;17;39;27;86;43;35;51;102;90;70;55;59;82;67;75;6357335;6357336;6357867;6357866
46;0;0;31;6354585;-77;26;-77;-66;2;3;1;2;1;2;3;3;1;3;2;3;1;1;3;2;2;1;4;5;5;3;5;5;5;3;4;5;3;4;4;5;5;2;3;2;2;2;3;2;3;3;2;2;3;1;2;3;1;3;4;3;5;5;3;4;3;4;4;4;3;4;3;5;4;1;1;2;2;1;1;2;2;2;25;2;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357866,6357872,6357870,6357867,6357869,6357871,6357335,6357424,6357522,6357336,6357503,6357534,6357442,6357860,6357557,6354585;1;0;0;-77;-77;1fcffa92da537d48024f80752b97669d;1;0;1655933184;2022-06-22 21:26:24;2022-06-22 21:26:51;0000-00-00 00:00:00;1;2;2;13;18;15;24;20;17;23;27;26;3;8;10;7;12;4;6357866;6357867;6357335;6357336
47;0;0;31;6354585;-77;28;-77;-66;2;1;3;1;3;1;2;2;3;1;2;2;3;1;2;2;1;2;4;5;5;3;5;5;3;5;5;5;4;3;4;3;5;3;1;1;1;2;1;3;2;2;1;3;3;2;1;2;3;3;3;5;4;3;5;4;4;5;4;5;4;5;4;5;4;1;1;2;2;2;1;3;1;3;22;2;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357336,6357503,6357534,6357866,6357872,6357870,6357335,6357424,6357522,6357442,6357860,6357557,6354585;0;1;0;-77;-77;d74d85e1e4b550cc5ca25c327c3ec215;1;0;1655933225;2022-06-22 21:27:05;2022-06-22 21:27:33;0000-00-00 00:00:00;0;1;1;18;7;20;25;9;23;12;28;26;13;2;4;17;7;14;6357867;6357336;6357866;6357335
48;0;0;31;6354585;-77;28;-77;-66;1;2;1;2;3;2;2;1;1;2;2;3;1;1;3;2;3;2;5;5;3;4;5;3;3;3;4;4;4;3;5;3;5;1;1;1;2;1;3;1;3;3;1;1;1;1;1;1;3;3;4;4;3;5;3;5;3;3;5;3;4;5;3;4;3;3;2;1;3;1;1;2;2;2;32;3;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357336,6357503,6357534,6357866,6357872,6357870,6357335,6357424,6357522,6357442,6357860,6357557,6354585;0;1;0;-77;-77;d74d85e1e4b550cc5ca25c327c3ec215;1;0;1655933225;2022-06-22 21:27:05;2022-06-22 21:27:33;0000-00-00 00:00:00;0;1;1;18;7;20;25;9;23;12;28;26;13;2;4;17;7;14;6357867;6357336;6357866;6357335
49;0;0;31;6354585;-77;28;-77;-66;2;3;1;2;3;3;2;2;3;1;2;3;3;1;1;3;1;1;4;4;4;3;4;4;4;4;3;5;4;4;5;4;5;3;2;2;3;1;2;2;1;1;2;2;1;2;3;2;3;2;3;3;3;4;3;3;5;3;5;5;5;3;3;5;5;1;2;1;2;1;2;3;3;1;35;2;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ww3.unipark.de/www/front.php?module=survey&controller=syadmin&pid=935154;0;0;-66;0;6356781,6357333,6359501,6356782,6359491,6357867,6357869,6357871,6357336,6357503,6357534,6357866,6357872,6357870,6357335,6357424,6357522,6357442,6357860,6357557,6354585;0;1;0;-77;-77;d74d85e1e4b550cc5ca25c327c3ec215;1;0;1655933225;2022-06-22 21:27:05;2022-06-22 21:27:33;0000-00-00 00:00:00;0;1;1;18;7;20;25;9;23;12;28;26;13;2;4;17;7;14;6357867;6357336;6357866;6357335
